ci_skipped,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,TFC,is_doc,is_build,is_meta,is_media,is_src,is_merge,FRM,COM,CFT,classif,prev_com_res,proj_recent_skip,comm_recent_skip,same_committer,is_fix,day_week,CM,commit_hash
1,1,1,1,0,2,1,401,1,45.9699537,1,482,14.80469005,290,1,0,0,0,0,1,0,0,0,0,1,0,3,3,1,0,1,4.196991322,f37494268441e41e7d1b7b83316eed0a35a8182f
0,1,1,1,0,1,1,274,2,65.46052083,1,481,13.80469005,289,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,1,1,1.951726527,4b78f253ffcd2fc9d5fbcf33a4eaea50cf17b08c
1,1,1,1,0,2,1,400,1,19.69319444,1,480,20.4683903,288,1,0,0,0,0,1,0,0,0,0,1,1,4,4,1,0,4,4.196991322,b6c92b80cecbb63d661e53144593f97c1cc4fd27
1,1,1,1,0,1,1,87,1,75.32986111,1,479,30.51877221,287,1,0,0,0,0,0,0,0,0,0,7,1,4,4,1,0,6,5.309418221,46eada942179d10d057021ff40b468946132a6f4
1,1,1,1,0,2,2,508,1,0.214027778,1,478,29.52077255,286,1,0,0,0,0,1,0,0,0,0,2,0,4,4,1,1,6,2.895261352,6afcc4a2ca3887c3b47a5266cbb68ee9bc5ad576
0,1,6,6,2.23701648,73,29,262,2,22.31216242,5,477,28.52184782,285,2,0,0,0,0,0,0,0,0,1,1,1,5,5,1,0,6,5.421891748,75c20a73943c5ceac108a0d17681b41af4182c7a
1,1,5,20,3.61978287,101,101,256.45,1,73.18043403,7,475,26.52876026,284,1,0,0,0,0,1,0,0,0,0,4,1,4,4,1,0,6,2.437115986,3991b332e5b31094b581ef19df05c038c6ad6b50
1,1,3,6,1.95721335,52,13,200,1,12.52672261,2,474,25.52876026,283,1,0,0,0,0,1,0,0,0,0,4,1,3,3,1,0,6,2.437115986,8e0604559a1d04916d91dcf6b559c564c0a0b899
1,1,1,1,0,1,1,103,2,13.34909722,1,476,25.52876026,158,1,1,0,0,0,0,0,0,0,0,7,1,4,4,1,0,6,1.370151122,e804facecbfff81adf0cb3b418d1e61855eeb21c
1,1,11,47,3.952378394,49,123,247.9787234,1,65.44716041,17,473,24.52876026,282,1,0,0,0,0,1,0,0,0,0,4,1,3,3,1,0,6,2.437115986,536694558727ce3721e465f822a057ea7a8e8c21
