ci_skipped,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,TFC,is_doc,is_build,is_meta,is_media,is_src,is_merge,FRM,COM,CFT,classif,prev_com_res,proj_recent_skip,comm_recent_skip,same_committer,is_fix,day_week,CM,commit_hash
0,1,1,1,0,10,6,22,2,108.3998611,1,488,20.44535262,259,1,0,0,1,0,0,0,0,0,0,5,0,2,2,1,0,4,3.998779831,703496e5cc4c2887be8ab1efa1640f5ea116ab3f
0,1,1,1,0,12,12,198,2,22.91930556,1,487,22.96041135,246,1,0,0,0,0,1,0,0,0,0,4,1,2,2,1,0,5,4.513238814,bd14b6b83bfd2118b4b2b34e92a313e76f1dde27
1,1,1,1,0,10,10,363,2,10.83174769,1,486,57.91925388,190,1,0,0,0,0,1,0,0,0,0,4,0,2,2,1,0,6,4.166665224,05ed98bd08a9cd9e77a4a42a18f327f9bbc2f0e9
0,1,1,1,0,2,1,302,2,0.107766204,1,485,57.02192164,245,1,0,0,0,0,1,0,0,0,0,2,1,3,3,1,1,3,3.414626525,309bc5826a0ae580d19aa4e1f6c051b357b806e5
1,2,2,2,1,2,2,104.5,3,27.0477662,2,484,56.02351346,251,2,0,0,0,0,0,0,0,0,0,7,0,3,3,1,0,3,2.686094809,4fd97c55eb7cbd4db3d3f196b3f24654703408d2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,4,1,0,3,4.251629307,96f07fe0c35e6fd0e953dd14e2b188eaccc35a34
1,1,1,2,0.69621226,7,25,262,13,4.355613426,2,483,55.02354284,257,1,1,0,0,0,0,0,0,0,0,7,0,2,2,1,0,3,2.757098352,2be7220024ffc6fe7d97de20fac870216799168a
0,1,1,1,0,2,2,198,2,0.033877315,1,482,54.02354284,243,1,0,0,0,0,1,0,0,0,0,5,1,3,3,1,0,3,4.040519745,633e45444a4ce85f08a4541f957c6f9dc57e7e92
1,1,1,1,0,9,8,197,2,0.121678241,1,481,53.02354284,242,1,0,0,0,0,1,0,0,0,0,4,1,3,3,1,0,3,4.075504445,8a62fe44346d3c9cf94db76984ff19bb999e46a1
1,1,1,1,0,5,6,208,3,8.6209375,1,480,52.02354284,256,1,1,0,0,0,0,0,0,0,0,7,0,3,3,1,0,3,2.781622428,af5bafc143a12c88eaa332c199d358c3833d97aa
0,1,1,1,0,1,1,300,2,0.00212963,1,479,51.02354284,241,1,0,0,0,0,1,0,0,0,0,7,0,4,4,1,0,3,5.487770657,69b0dbbc43223c8ffab7a278a577757120a6a5a3
0,1,1,1,0,36,32,296,2,0.05369213,1,478,50.02354284,240,1,0,0,0,0,1,0,0,0,0,7,1,4,4,1,0,3,5.274744004,a3608a4f19701d40012e4eaf0560a0150606fca8
1,1,1,1,0,1,1,296,2,0.000208333,1,477,49.02354284,239,1,0,0,0,0,1,0,0,0,0,7,1,4,4,1,0,3,3.610736466,f36ed622438a5c03cc2fec5350494cab55fcb414
1,1,1,1,0,9,0,287,2,8.580034722,1,476,48.02354284,238,1,0,0,0,0,1,0,0,0,0,7,1,3,3,1,0,3,5.274744004,3732451710262dc3013ba66356c11474db75b4c1
1,1,1,1,0,2,4,199,2,0.003483796,1,475,47.02354284,237,1,0,0,0,0,1,0,0,0,0,4,1,2,2,1,0,3,5.053085236,8b2135326e7a396b750b8a5ceabb348dd5edc88a
1,1,1,1,0,10,9,198,2,0.002430556,1,474,46.02354284,236,1,0,0,0,0,1,0,0,0,0,7,0,1,1,1,0,3,5.115225216,c7351f520e3226869ab0707eb4b349c65b04dfc7
0,1,1,1,0,10,9,197,2,0.0015625,1,473,45.02354284,235,1,0,0,0,0,1,0,0,0,0,7,1,2,2,1,0,3,4.422078036,8a559134fc8fb6d68ba815daa1a02f083b3d31f6
1,1,1,1,0,2,1,196,2,8.488958333,1,472,44.02354284,234,1,0,0,0,0,1,0,0,0,0,7,0,2,2,1,0,3,5.328163269,8b2629b0ec7a9783c223413ce17e755f3e853365
0,2,2,2,0.139232999,27,24,239,3,10.00825231,2,471,43.02354284,244,2,0,0,0,0,0,0,0,0,1,7,1,5,5,1,0,3,4.567032659,3729b4576fb1f384879e487f3f29255eb19dddc3
0,1,1,1,0,6,6,273,2,0.002407407,1,470,81.73743962,189,1,0,0,0,0,1,0,0,0,0,5,0,2,2,1,0,2,4.324020596,2393eefc77e9959d22c712310cf86de982796d5a
0,1,1,1,0,26,10,257,2,0.249305556,1,469,80.73743962,188,1,0,0,0,0,1,0,0,0,0,5,0,3,3,1,0,2,3.428140862,80a5121f6cde9282f216d4eb220dc5cca3093241
0,1,1,1,0,19,1,239,2,0.116134259,1,468,79.73783773,187,1,0,0,0,0,1,0,0,0,0,5,1,3,3,1,0,2,4.124736373,bc63180a1a99891796324632d0c7512a0b117e49
1,1,1,1,0,1,1,196,2,0.004907407,1,467,78.73783773,232,1,0,0,0,0,1,0,0,0,0,7,1,2,2,1,0,2,5.370638028,66e7315fc69e0a9068e078a05468cc1056e797fa
1,1,1,1,0,1,0,316,12,0.001377315,1,466,77.73783773,254,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,3.848161409,40259262fbc4f7ae42fdf23315f09ce57fb8500c
0,3,3,4,1.905639062,4,4,214.5,20,0.040081019,3,465,76.73783773,223.3333333,2,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,2,3.639512244,b39668411d0eb308b152d82859b056cc325303ff
1,1,1,1,0,1,1,35,8,0.101157407,1,464,75.73783773,230,1,0,0,0,0,1,0,0,0,0,7,0,1,1,1,0,2,5.370638028,de6c8d3490b46de9f0e32be8447fa51a07aafe18
0,1,1,1,0,2,3,288,2,0.005694444,1,463,74.73783773,229,1,0,0,0,0,1,0,0,0,0,4,0,2,2,1,0,2,3.984343667,72650db0b1096cc7252762e270c1e63c96c18dd5
0,1,1,2,0.954434003,4,4,242,18,0.003767361,2,462,73.73783773,228,1,0,0,0,0,1,0,0,0,0,7,0,3,3,1,0,2,4.859812404,c4acf655df2ef3911f2de8d6466ebc351ed5378b
0,3,3,4,1.630982608,14,9,201.5,24,0.457337963,4,461,72.73783773,221.3333333,2,0,0,0,0,0,0,0,0,0,1,1,3,3,1,0,2,4.28655288,7ada6fdda2fbaea1cc2febb95e90109897f6fa92
1,1,1,1,0,1,1,363,2,0.027395833,1,460,71.74201757,184,1,0,0,0,0,1,0,0,0,0,7,0,3,3,1,0,2,5.370638028,cdc50beafbeb3d8fba8e9a912567ac1b3b8cede7
0,1,1,1,0,4,4,289,2,0.021064815,1,459,70.74201757,226,1,0,0,0,0,1,0,0,0,0,4,1,3,3,1,0,2,4.227102576,c4f325752da127133fa71c56290eda61a827e11c
1,1,1,1,0,1,1,197,2,0.004861111,1,458,69.74208345,225,1,0,0,0,0,1,0,0,0,0,7,1,3,3,1,0,2,5.919944172,946b6933f2c4aaec48905506021ca46dde0499cc
1,1,1,1,0,1,0,205,3,0.064548611,1,457,68.74209402,251,1,1,0,0,0,0,0,0,0,0,7,0,3,3,1,0,2,2.781622428,62d86fb3b2d7c871c552d3c13a73b506ef631104
0,1,1,1,0,13,2,278,2,0.006168981,1,456,67.7421072,224,1,0,0,0,0,1,0,0,0,0,2,1,3,3,1,1,2,4.143976633,1096bf549036ecd25c2809d5bf34edcd33250f7c
1,1,1,1,0,6,1,192,2,0.003101852,1,455,66.7421072,223,1,0,0,0,0,1,0,0,0,0,7,0,2,2,1,0,2,4.851906895,d11da1486b866fc3e33d1509d163e82a0a949ebf
0,2,2,5,2.049193219,19,31,244.4,15,0.064430556,5,454,65.74212037,202.5,1,0,0,0,0,1,0,0,0,0,7,1,3,3,1,0,2,4.485702799,513b298f1f0336e4c6af4e8e5b95e57ab559e82e
1,1,1,1,0,1,1,139,15,0.000243056,1,453,64.74219705,182,1,0,0,0,0,1,0,0,0,0,7,1,2,2,1,0,2,5.776103136,62606fa85f8eca87908eefd56155e084bb1b2c93
1,1,1,1,0,2,0,137,15,0.060856481,1,452,63.74219705,181,1,0,0,0,0,1,0,0,0,0,4,0,1,1,1,0,2,4.089627983,4eec9ca38e3237aba01218cc05cd1da3adf4523c
