ci_skipped,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,TFC,is_doc,is_build,is_meta,is_media,is_src,is_merge,FRM,COM,CFT,classif,prev_com_res,proj_recent_skip,comm_recent_skip,same_committer,is_fix,day_week,CM,commit_hash
0,1,1,1,0,1,1,41,5,14.52259259,1,1460,15.40403367,885,1,0,0,1,0,0,0,0,0,0,5,1,1,1,1,0,3,3.184714252,f5f8c5e9aa7595babe1b3277384dcc00d72d514b
1,1,1,1,0,1,1,95,4,0.000787037,1,1459,15.20445172,445,1,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,4,2.355600214,fb6f150c864210c8a471d083daca34e2c9722608
0,2,2,2,0.721928095,5,0,226,11,318.6654861,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,4,7.120584942,ec269be04a18ff28c85cd98dfa5d10cb3da5cb53
0,1,1,1,0,1,1,53,1,545.8765625,1,0,0,0,1,1,0,0,0,0,0,0,0,0,7,0,2,0,0,0,2,5.977602392,18477e2f38161f9b28a191d4ac618b7136b85947
0,1,1,1,0,1,3,341,5,0.0084375,1,1458,17.0479789,444,1,0,0,0,0,1,0,0,0,0,2,0,2,2,1,1,3,2.536265404,9f2a51a4da7cf8ebc6855462ff7996c4cca39ce1
0,3,3,3,1.512887622,19,1,705.3333333,37,43.57676698,3,1457,16.0479789,687,2,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,3,4.469453994,7b36894483721a5d02d0c561a86d587bbf8f2b67
1,2,2,3,1.584962501,3,3,226.6666667,4,142.6333758,3,1456,15.07942093,808,3,0,0,0,0,0,0,0,0,0,7,0,1,1,1,0,3,2.833165497,7ca2b43d6a235788b721f7f32a2812cb0795bef1
0,1,1,1,0,1,1,41,5,40.36583333,1,1455,14.07959395,882,1,0,0,1,0,0,0,0,0,0,5,1,1,1,1,0,3,3.477509998,078a17bdf7d012bd2bc0660bb426529b7cfa7191
1,1,1,1,0,0,6,1997,50,13.97894676,1,1454,20.22371293,881,1,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,4,4.303077692,4e4d831e5d6eaf1a213d9bf806f274f0d3cb4604
0,3,4,6,1.944446874,26,24,254.6666667,34,98.56089313,6,1453,23.46130668,684.6666667,2,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,5,4.564663657,18f154f40ccbb4a8c1932f92280805a0aee5eff0
