ci_skipped,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,TFC,is_doc,is_build,is_meta,is_media,is_src,is_merge,FRM,COM,CFT,classif,prev_com_res,proj_recent_skip,comm_recent_skip,same_committer,is_fix,day_week,CM,commit_hash
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,3,1,0,2,4.487419227,437fc9e4e0c542bbdbdcbf00380ba4cdeb81d077
0,1,1,1,0,1,1,434,3,66.28001157,1,853,10.55793059,340,1,0,0,0,0,1,0,0,0,0,2,1,4,4,1,1,2,3.52573598,6da436f5e960f35b3bad9ed5a711462c6198e6f5
0,1,1,1,0,0,1,318,3,225.8347106,1,0,0,0,1,1,0,0,0,0,0,0,0,0,7,1,4,1,0,0,3,5.459999027,9e87860adde61ac8407593ed47ca751eeb103945
1,1,1,1,0,1,1,40,4,130.9245949,1,852,11.96412666,250,1,1,0,0,0,0,0,0,0,0,2,0,4,4,1,1,3,3.845738281,9e22b0700a7f264afd64e347af5d89e8775398d3
0,1,1,1,0,4,2,12,2,279.7431366,1,851,12.88408987,249,1,0,0,1,0,0,0,0,0,0,7,1,5,5,1,0,4,4.220054808,7b137f8c8566a87cb3a85938f577058ac2a55250
1,1,1,1,0,8,6,206,4,0.002916667,1,850,11.92371454,97,1,1,0,0,0,0,0,0,0,0,2,1,5,5,1,1,3,3.570246444,d0454ddbdba106770071e62a543354e6896db1cb
1,1,1,2,1,12,0,249.5,7,74.64686343,1,849,10.92371454,96,1,1,0,0,0,0,0,0,0,0,1,1,5,5,1,0,3,4.556516372,ebce268a5d9ec189a43bfaff5db0a4001d99091a
1,1,1,1,0,6,0,57,1,929.1423032,1,848,10.42706238,95,1,1,0,0,0,0,0,0,0,0,1,1,4,4,1,0,5,3.736263921,a3f4ab81e60ba814600389530fce4e741edfb355
1,1,1,1,0,4,2,432,3,0.001967593,1,847,24.68781254,339,1,0,0,0,0,1,0,0,0,0,7,1,4,4,1,0,6,3.644763198,05454dc927f98d37b891a94484de23d4d90b4374
1,1,1,1,0,14,8,426,3,0.014016204,1,846,23.68783871,338,1,0,0,0,0,1,0,0,0,0,7,1,3,3,1,0,6,5.370638028,ff343e946df10a8ce1048231164a2af34db3e1ca
1,1,1,1,0,9,7,424,3,0.010208333,1,845,22.68789104,337,1,0,0,0,0,1,0,0,0,0,4,1,3,3,1,0,6,5.776103136,a23ef023ebaf6725a53be4e0198587c17820f148
1,2,2,2,0.99107606,7,2,248,3,0.032395833,2,844,21.6879516,381.5,1,0,0,0,0,1,0,0,0,0,4,0,2,2,1,0,6,5.429529546,46e94ed6d7ab72f8341240b1757d4efe900cb819
0,2,2,2,0.228538144,13,14,387.5,4,0.30806713,2,843,20.6879516,291.5,2,0,0,0,0,0,0,0,0,0,7,1,2,2,1,0,6,4.836007063,e86e471d0ec1ba10762a76050e2e83521f5a84df
1,1,1,1,0,4,0,71,2,0.0125,1,842,19.6879516,426,1,0,0,0,0,1,0,0,0,0,7,0,1,1,1,0,6,5.165242648,2d01d04211ab8a906d8349353691788b7d001210
0,2,2,2,0.650022422,6,6,246,3,0.543252315,1,841,18.6879516,379.5,1,0,0,0,0,1,0,0,0,0,7,1,2,2,1,0,6,5.547030453,9c283ebf8f8ecdf3db062f9f3abf3c0b3a97a727
1,1,1,1,0,1,0,353,3,0.169201389,1,840,17.82202928,247,1,1,0,0,0,0,0,0,0,0,7,0,2,2,1,0,5,2.708862109,4421013a39f1b08591b40b2cea8b25095f60a162
0,2,2,2,0.74248757,9,10,246.5,3,0.09427662,2,839,16.82202928,378.5,1,0,0,0,0,1,0,0,0,0,7,0,3,3,1,0,5,4.252287801,4416f2b2fd905ca04e95ad54091598de870bcec1
0,1,2,2,0.680077046,40,10,212,3,459.0170949,2,838,15.82202928,332,2,0,0,0,0,0,0,0,0,0,7,0,4,4,1,0,5,4.45583208,e4193216ed3da3ec2606cbc7cad1f1540034fb98
0,3,4,4,0.978773644,35,1,163.5,8,287.5127228,4,837,14.83119515,239.6666667,2,0,0,0,0,0,0,0,0,0,1,1,4,4,1,0,5,3.270942894,225c998e9146536defd1d5fa8889e3d58fd702ff
1,1,1,1,0,1,6,406,3,0.005729167,1,836,13.99161332,331,1,0,0,0,0,1,0,0,0,0,7,1,3,3,1,0,2,5.776103136,d821e750df684b5139b775fadaf217efd7715083
1,1,1,1,0,1,0,405,3,0.003020833,1,835,12.99165467,330,1,0,0,0,0,1,0,0,0,0,1,1,2,2,1,0,2,3.209676673,de24a60ccf3ff9796741d398bb41546a6be35cfd
1,1,1,1,0,3,1,403,3,0.001296296,1,834,11.99165467,329,1,0,0,0,0,1,0,0,0,0,4,1,2,1,1,0,2,3.840502631,37d65d2495d2d20ed55f832b3747672ea8f1d404
1,1,1,1,0,1,0,402,3,0.006099537,1,833,10.99165467,328,1,0,0,0,0,1,0,0,0,0,7,0,1,0,1,0,2,5.440285966,578dab66416a4b3c826d75caca7b05b12c0ba2b0
0,1,1,1,0,2,1,401,3,77.86408565,1,832,9.991729251,327,1,0,0,0,0,1,0,0,0,0,2,0,2,0,1,1,2,5.315586118,43d0b4a24dccedb3ad0587ac3e8286eb2dad6c08
