ci_skipped,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,TFC,is_doc,is_build,is_meta,is_media,is_src,is_merge,FRM,COM,CFT,classif,prev_com_res,proj_recent_skip,comm_recent_skip,same_committer,is_fix,day_week,CM,commit_hash
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,7,3.900350642,6434e3bedfbf4cc5d97d33c84d10682970a95083
0,1,1,1,0,12,10,47,21,171.3735069,1,18,0.4084418,10,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,4.729693554,c044cff219a812fe05925fc489ca46c94b642dcd
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,7,3.727415704,ab8c34d9c2fc1d9a6b6ed352f6f205be8b06a25e
0,1,1,1,0,4,0,20,5,72.64359954,1,5,1.03539823,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,5,4.598396672,3e7ec220f10e3dbc9b142980f40d3668624afd9b
0,1,1,1,0,7,0,28,3,71.55703704,1,4,0.03539823,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,4,5.271117795,ca51ed8a1749fb39e472fec72cc6f938798e7f0c
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,3,3.867761081,55a83f03185d5e0142d37eb6a5a75f2d3418259d
0,1,1,1,0,1,1,165,9,0.035590278,1,4,4,2,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,2,5.385190543,3f8a77db7ea04d6d5b9ec1a43c4bd99b3c554ae7
0,1,1,1,0,37,0,486,24,161.3524421,1,3,3,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,2,5.795729204,079cbc1ab2d14355f3cdc26fd88c2f75307f67c1
0,2,2,2,0.315997133,26,9,630,49,116.1850752,2,2,2,0.5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,4.67432153,d22fe82ae26ab1ca17c009991c020f4d38d99c11
0,2,3,3,0.94056624,23,1,160,39,321.424483,3,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,3.882998062,d45156a9c2638a86e0266bbb2b10a53d4fdb0bbf
0,1,1,1,0,11,6,149,5,737.0471759,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,3.560647409,09cef0cdca7956962814d18cf07f7298747f5348
0,1,2,2,0.968164732,16,27,344,27,0.06109375,2,1,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,3,3.463809547,d054f114fd9edece1f7972fe1cd0557200aa6816
0,4,13,24,2.694888681,9,47,90.58333333,78,74.22078125,10,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,4.737630729,bc13ccbdf17644bbe6fb3d2733aed9f6077465f2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,4.193076368,aee2d97dd4c66d344030f4d41b207015f8c68fd3
0,1,1,1,0,2,8,32,19,62.83533565,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,9.721667693,3b21d02703c8ac7f9e3b976d6b5ddb9063c1836d
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,3.993049592,5661adf3b9174e88112ea07f93bb48bb84814369
0,1,1,1,0,1,1,32,19,62.70912037,1,25,0.569467757,19,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,4.730683082,4b0aad3f0814dd82cdd4301fb841df017bcd7b55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,6,2.928360486,901c1f262adca8e66f9311c7a0e4cd3cb02a277c
0,3,3,3,1.370950594,7,3,309.3333333,32,48.45238812,3,17,2.216187365,5.666666667,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,3.456383797,0356739cd70d0db7ecdfb4f920ab1ed64ba01fc3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,6,2.796354658,5e124dd1cca4ad3c38a0be7dab0f84f3fac8603f
0,1,1,1,0,1,1,3,8,145.2106019,1,16,1.216275533,7,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,6,3.317890406,a6b253780dfcfd6978735fda5cf64ce9854a91ba
0,1,1,2,0.574635698,20,24,943.5,75,66.60110532,2,15,0.216275533,8,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,3.56688158,d6db15383f836c8eae2cc15853760d3dd8da1299
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0,3,4.458270406,a4540e3e77f6088c5baf46b4ae49489a4cfd4ffe
0,1,1,1,0,1,1,967,60,14.78134259,1,0,0,0,1,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,2,7.563954271,e055c0d4e6f47a7ff2b6839f38f7dc40115c3387
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,2,3.772450839,cdef85b51d67c0be705f85ded0cc439f0e927131
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,2,4.187973619,3ddd77cb17ceb74ad225fdb74a5d6465b7ce3d56
0,1,1,1,0,1,1,32,19,0.001921296,1,7,2.5,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,5.367494346,a76eea5dc24da16af160fb3e6799096325a3c416
0,1,1,1,0,1,1,32,19,25.34667824,1,6,1.5,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,6.410651664,79658355c2bcbdee8cf9a9c4a5337df62a8472be
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,3.940636122,36528e820602a341ebfc009a166c73204bd1e718
0,3,4,4,1.353404109,50,6,452.25,78,68.6418287,3,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4.693658062,2e62ad2efe7f3b93ddd0dea5fbd3fb6fb1e34a96
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,4.053172421,06682065d9e82785099c4753c6fd2654f90c4e10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,4.223336996,a878879a9a4b7f2b6593876164c86286a7cb59d3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,3.909387693,07a72205feb9cd46d115f97446ea4443844c43fe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,3.712312369,71380a1364f1435fde56a70b4edd440cfb6bc5c0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,3.458371898,f04fa76daa5d0b41f14035817427ac8e57d9d3a8
0,1,4,4,1.685117934,21,2,134.75,23,598.4008189,4,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,3,4.810264514,f7225de3cda6125e1f463934fc1133c77ae49670
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,5,3.447864819,3bd0078faeec17f331d424702f3e38bf4bcd7a21
0,1,1,1,0,3,0,54,20,56.62496528,1,24,0.69549555,18,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,5,3.998008704,cac9be21f0df4f02a79d4fb995133f6b57b26981
0,1,1,1,0,2,2,963,59,15.86363426,1,13,1.870813397,11,1,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,4,6.499412423,1cd4d64037ac3c7e5450d6c60730d2fae172a231
0,1,1,1,0,1,3,49,20,4.886388889,1,20,6.955555556,15,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,2,5.86445115,49dde38f2b4fd355b1dda12a73673fdb7755d7a8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,1,0,2,3.554790555,ad781be0d95a95138cb55ba296401d220b1f7169
0,1,1,1,0,0,1,33,19,1.001006944,1,5,5,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,5,4.834204858,45dccd4d3a34a442585f96bf7eaa79ea7532a144
