ci_skipped,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,TFC,is_doc,is_build,is_meta,is_media,is_src,is_merge,FRM,COM,CFT,classif,prev_com_res,proj_recent_skip,comm_recent_skip,same_committer,is_fix,day_week,CM,commit_hash
0,2,12,35,4.304621422,688,408,59.85714286,3,249.0002999,12,7,5.038589981,3.5,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,3,6.417774171,ca7f0aee79a0993ab387a403561f760a7dc072e8
0,1,2,2,1,0,2,54.5,1,0.001875,1,6,4.038926682,3,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,6,3.786922416,11b3f0e60c470efab02b8b0bb7da045510a15eae
0,1,2,2,1,4,2,53.5,1,0.028101852,1,5,3.038926682,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,6,3.786922416,06b6b2a440183049018ed615bf41581b048ff7af
0,2,5,20,4.156995306,1074,5,8.2,3,30.68991146,2,4,2.038926682,1.5,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,6,6.067085528,742f6d7b939f62ece2bb17e08110ab10eb5ad8d4
0,3,9,12,3.168313437,175,172,77.75,3,613.3715413,6,3,1.038926682,0.333333333,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,6,5.172224569,993328e9ba7f4b82692e7d65ab0fd65fbd007d03
0,1,2,2,0.735508582,25,4,38,3,625.2228067,2,2,0.038926682,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,6,4.170338157,0346725fce6285f8c22aba98de507dc908d6dc7f
0,1,1,1,0,1,0,9,1,480.6506713,1,1,0.166666667,0,1,0,0,1,0,0,0,0,0,0,7,0,0,0,1,0,4,4.570559451,df6b1e904ed6b7fbf4416d1a77080c76ceba5895
1,1,1,1,0,26,0,154,4,178.0983449,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4.23419136,9ba80a65b439c575b9393ef066f6ecd17df7f42b
0,7,22,22,4.436605434,23,23,100.7727273,5,4.63E-05,1,19,1.803278112,12.85714286,1,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,3,2.949263276,c7b6824182df4762e6a253504dcf737b8bb014df
0,7,22,22,4.436605434,23,23,100.7727273,5,66.88329861,1,18,0.803278112,11.85714286,1,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,3,2.949263276,5a3b0ff1faeb4ab970512b44818bc1dba3e5bc10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,1,0,2,4.28792455,2127ffed6bb4d9501a673b57f1b3a9857199b658
0,1,1,1,0,6,3,86,1,0.489861111,1,153,5.277150204,33,1,0,0,0,0,1,0,0,0,0,2,0,4,1,1,1,2,5.07976452,04ec784a62e2e2a646705088af2d04521d173ee6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,1,1,0,2,3.565886652,1ddcad95c9c83865bacf62505d208227c59cb236
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,5,1,0,0,2,3.62006842,ef353deead443e91e71006f9f4648d2c86d042a3
0,3,4,4,1.53845191,216,58,32.75,1,53.43088252,2,152,4.292846156,30,1,0,0,0,0,1,0,0,0,0,2,1,5,1,0,1,2,5.354746903,b3939551e17e19319fc63fc773b0d22bfaabc653
0,1,2,2,0.999057404,51,32,31.5,1,201.9390509,1,151,5.698980982,56,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,5,6.922381485,22e3426597fdbc9305c4d7886bfb3526e25dd957
1,1,1,1,0,2,2,75,4,0.000671296,1,73,34.18320702,18,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,f7af32a4509ac19734435f63b1130cac33b25dcf
1,1,1,1,0,2,2,75,4,0.000671296,1,54,17.68320702,13,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,f881d2fb6afc84025ff4c6c5a047c457eb31433c
1,1,1,1,0,7,13,81,4,231.0947685,1,53,16.68320702,12,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,53ba7ffe480d74fa7e7d2e1b9b9595f44a2be4f7
1,1,1,1,0,7,13,81,4,231.0947685,1,72,32.18320702,17,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,62ac7d8024622d898aada7031f37b6e2524fcb2a
1,1,1,1,0,1,1,209,4,0.011423611,1,71,30.18320702,32,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,850eff01f050fba9a7546e9f3eb4a1a293bbcd96
1,1,1,1,0,1,1,209,4,0.011423611,1,52,15.68320702,24,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,b53818ff9538c6868d74f0682b408ac6063bb6e4
1,1,1,1,0,7,2,5,4,231.0757407,1,70,28.18320702,2,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,28b806ef402d52256824be46931883605c1cdd62
1,1,1,1,0,7,2,5,4,231.0757407,1,51,14.68320702,1,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,5578505045a40de08370a417f2c4434b2d1d29b8
1,1,1,1,0,1,1,47,3,0.001909722,1,69,26.18320702,11,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,40d90664db97fc6fdc883a4d5af1ef4914f7ba3b
1,1,1,1,0,1,1,47,3,0.001909722,1,50,13.68320702,6,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,3d03f43d8efe5f656c9ce1e4e4815f07205bbb6b
1,1,1,1,0,1,1,33,3,231.1163889,1,49,12.68320702,5,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,157f832743c39889ffd05cc6166a3f2100c0e28b
1,1,1,1,0,1,1,33,4,231.1163889,1,68,24.18320702,10,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,2d865983a4efca4a778e1bf4576365bea3cae495
1,1,1,1,0,1,1,47,3,0.000277778,1,67,22.18320702,9,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,834358caaec384010fa7b621e7d36704e7008022
1,1,1,1,0,1,1,47,3,0.000277778,1,48,11.68320702,4,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,db831fd6c05a1bd39af6ca0b41b775134a03ef23
1,1,1,1,0,2,0,45,3,0.001168981,1,47,10.68320702,3,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,6deae37bc5edb81d05539a54a23991b85ee5e30a
1,1,1,1,0,2,0,45,3,0.001168981,1,66,20.18320702,8,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,4558a246d0c9d8d9fc84f986d8c8c8c09323219c
1,1,1,1,0,11,1,35,3,231.0713542,1,46,9.683207019,2,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,a459cd26570142b2ed7c1d6c527fa748d4938363
1,1,1,1,0,11,1,35,3,231.0713542,1,65,18.18320702,7,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,01b23f0e434aec2ea8ba4801f2b3039f5b9f41c0
1,1,1,1,0,2,2,209,4,0.028090278,1,64,16.18320702,31,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,9548742648ed8e2eed6e125093cfc188514a4547
1,1,1,1,0,2,2,209,4,0.028090278,1,45,8.683207019,23,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,45f1976c6e994aa31a0059fbbccea7246893afd0
1,1,1,1,0,4,2,207,4,0.001608796,1,44,7.686540353,22,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,31ecb08b549383d6d01e87e3a6a8f202a04a78a6
1,1,1,1,0,4,2,207,4,0.001608796,1,63,14.18654035,30,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,0aed500d14f1040ce7c9bd0703e62ee27818295d
1,1,1,1,0,1,1,207,4,0.000752315,1,62,13.18654035,29,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,52c570c8aa37f59abe9cec6bd291306df6d10622
1,1,1,1,0,1,1,207,4,0.000752315,1,43,7.186540353,21,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,47f3f14df508d97626522d80ff393f92d16df070
1,1,1,1,0,2,2,207,4,0.002048611,1,42,6.686540353,20,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,6,1.280933845,e5b9de26596bca92c19a0abf2b3c9364a87cac03
