ci_skipped,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,TFC,is_doc,is_build,is_meta,is_media,is_src,is_merge,FRM,COM,CFT,classif,prev_com_res,proj_recent_skip,comm_recent_skip,same_committer,is_fix,day_week,CM,commit_hash
0,1,1,1,0,7,0,488,2,90.2312963,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4.372560143,1b4f1628f34fedfb06b24c33a5372d64d3df0952
0,1,2,2,0.764204507,24,12,310,2,113.7701157,1,91,2.10978791,28,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,1,4.019182887,70b6b2d247c712b8adc876b63522eb6ad4cdf07e
0,1,1,1,0,1,1,11,2,662.9009144,1,90,1.10998793,81,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,3.017427968,9d1880d8155698d2141e5961d17a34ba11d3cd1c
0,1,1,1,0,3,0,43,1,709.3718634,1,3,1.139423077,1,1,0,0,1,0,0,0,0,0,0,7,0,0,0,1,0,7,3.477367695,ec7df7d73da7efdb3306cf7d7117f7388c4812dc
0,1,1,1,0,5,0,299,3,105.0895255,1,2,0.139423077,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,2.806882278,19d97a127c96b1f5be8668d934784e6084a1d7ea
0,1,1,1,0,2,3,412,3,20.69818287,1,1,0.333333333,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,4.412218389,85052a3e46c7492d854b79d29b90e256c6a6d728
0,1,1,2,0.764204507,5,4,313.5,4,5.196076389,1,25,2.676581786,24,2,0,0,0,0,0,0,0,0,0,7,0,1,1,1,0,7,3.583518938,5937b2c080acdfba14e1ddc3f009c99fa169260c
0,2,5,5,1.417262452,53,20,234,2,212.4218796,5,24,1.676581786,11.5,2,0,0,0,0,0,0,0,0,0,7,0,1,1,1,0,7,4.507715179,930fc4d897cd4cc414799af917b9dafb8ccaf70a
0,1,1,4,1.763911157,17,7,215.25,4,175.0645978,3,23,0.702021501,22,3,0,0,0,0,0,0,0,0,0,7,0,1,1,1,0,1,2.784220514,407e3e86aa97b35e17286e41895cb9a2c2f92d9f
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,1,1,0,1,3.815556187,baf5ac1e61990483cd54a0aff594d7a4b1d84162
0,1,1,1,0,3,5,414,2,303.661794,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,0,0,1,1,4.276666119,b9445cdd4ec3508496bebe3839c013546b40cbff
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,3,1,1,0,3,3.719928864,7df7544e70385dff1e024c4db86aa9c6a9e2b756
0,1,1,2,0.468995594,10,10,166.5,3,42.19992477,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,3,1,0,1,2,3.772940364,93597066d16c415e885fc84f2f7f4d05ce75bf8e
1,1,1,1,0,1,1,36,3,90.16667824,1,22,0.866767695,21,1,1,0,0,0,0,0,0,0,0,7,0,3,0,0,0,2,2.731144892,5fb4bada283666cc44187c016c63502706770e44
0,1,1,1,0,49,0,132,1,0.011157407,1,89,3.294101094,27,1,0,0,0,0,1,0,0,0,1,1,0,4,1,1,0,2,3.788133827,f6f725bbfbed6486b3d84d4c3be6794a32c8b466
0,2,5,9,2.800261064,92,22,327.8888889,4,246.9319174,6,88,2.294101094,53,3,0,0,0,0,0,0,0,0,0,7,1,5,1,0,0,2,4.623239709,770e29b8cb838c5faef53de183404b71626e846c
1,1,1,1,0,7,0,29,3,54.75915509,1,21,1.890455492,20,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,3,1.918045263,15bdff3018f93caa938c98067b76d14756e473ba
1,1,1,1,0,7,5,295,2,0.103877315,1,20,6.077063492,19,1,1,0,0,0,0,0,0,0,0,1,1,5,5,1,0,4,2.778951464,9eac65ef3a20fe848e8f859ec48b385932d67b74
1,1,1,1,0,1,1,295,2,0.004016204,1,19,5.590952381,18,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,4,0.643951257,b36173ee7be0eaf67413b9f04d906ffe4a3bd884
1,1,1,1,0,1,1,295,2,2.855798611,1,18,4.757619048,17,1,1,0,0,0,0,0,0,0,0,1,1,5,5,1,0,4,2.778951464,fd9f94c82132df31c2bbc192dca084cf670309d3
1,1,1,1,0,4,2,293,2,8.808263889,1,17,3.76674397,16,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,1,0.643951257,1b662664381035760d354e9306290defb10d1375
1,1,1,1,0,2,2,293,2,0.467615741,1,16,5.845243183,15,1,1,0,0,0,0,0,0,0,0,7,1,5,5,1,0,7,0.643951257,42df8f302ef084d3a13459b3e52bb0a368ad20f6
1,1,1,1,0,2,2,293,2,1.846909722,1,15,4.886909849,14,1,1,0,0,0,0,0,0,0,0,7,1,4,4,1,0,6,0.643951257,40c3ee926558a3ae0a1b0f18232145fa4503e331
1,1,1,1,0,2,0,27,3,41.17513889,1,14,3.907208995,13,1,1,0,0,0,0,0,0,0,0,7,1,3,3,1,0,4,1.918045263,b3a069aed62f5006306e51cadb3925fdea9bd003
1,1,1,1,0,3,3,293,2,0.005474537,1,13,2.907208995,12,1,1,0,0,0,0,0,0,0,0,7,1,2,2,1,0,4,2.129869728,8e9aaac6ae7a9eaf6bd7c5dcfe14d16bee29d3a6
